datetime,holiday,temp,humidity,windspeed,pressure,count
2011-01-01 00:00:00,0,9.84,81,0.0,1003.9686019627908,16
2011-01-01 01:00:00,0,9.02,80,0.0,1004.3389798966876,40
2011-01-01 02:00:00,0,9.02,80,0.0,1004.6496400684674,32
2011-01-01 03:00:00,0,9.84,75,0.0,1005.1794115008137,13
2011-01-01 04:00:00,0,9.84,75,0.0,1005.5676400684674,1
2011-01-01 05:00:00,0,9.84,75,6.0032,1004.7552286361212,1
2011-01-01 06:00:00,0,9.02,80,0.0,1006.1496400684674,2
2011-01-01 07:00:00,0,8.2,86,0.0,1006.2423002402472,3
2011-01-01 08:00:00,0,9.84,75,0.0,1006.8666781741441,8
2011-01-01 09:00:00,0,13.12,76,0.0,1006.6385288079011,14
2011-01-01 10:00:00,0,15.58,76,16.9979,1003.0440600684675,36
2011-01-01 11:00:00,0,14.76,81,19.0012,1002.4242888079011,56
2011-01-01 12:00:00,0,17.22,77,19.0012,1002.2284381741441,84
2011-01-01 13:00:00,0,18.86,72,19.9995,1008.8764002402472,94
2011-01-01 14:00:00,0,18.86,72,19.0012,1008.7654000684674,106
2011-01-01 15:00:00,0,18.04,77,19.9995,1001.0359686361212,110
2011-01-01 16:00:00,0,17.22,82,19.9995,1004.4797400684674,93
2011-01-01 17:00:00,0,18.04,82,19.0012,1000.2091715008137,67
2011-01-01 18:00:00,0,17.22,88,16.9979,1000.0300600684675,35
2011-01-01 19:00:00,0,17.22,88,16.9979,1003.7193998966877,37
2011-01-01 20:00:00,0,16.4,87,16.9979,999.6130219627908,36
2011-01-01 21:00:00,0,16.4,87,12.998,1000.2631513290338,34
2011-01-01 22:00:00,0,16.4,94,15.0013,999.4613800684674,28
2011-01-01 23:00:00,0,18.86,88,19.9995,1002.5668513290339,39
2011-01-02 00:00:00,0,18.86,88,19.9995,998.7683267291916,17
2011-01-02 01:00:00,0,18.04,94,16.9979,999.3890246630884,17
2011-01-02 02:00:00,0,17.22,100,19.0012,1003.0810248348682,9
2011-01-02 03:00:00,0,18.86,94,12.998,1000.7794362672145,6
2011-01-02 04:00:00,0,18.86,94,12.998,1001.1676648348682,3
2011-01-02 06:00:00,0,17.22,77,19.9995,1001.5313648348682,2
2011-01-02 07:00:00,0,16.4,76,12.998,1003.3743250066481,1
2011-01-02 08:00:00,0,16.4,71,15.0013,1003.462042940545,8
2011-01-02 09:00:00,0,15.58,76,15.0013,1003.4438935743019,20
2011-01-02 10:00:00,0,14.76,81,15.0013,1007.3270048348683,53
2011-01-02 11:00:00,0,14.76,71,16.9979,1003.3765735743019,70
2011-01-02 12:00:00,0,14.76,66,19.9995,1006.876402940545,93
2011-01-02 13:00:00,0,14.76,66,8.9981,1004.838305006648,75
2011-01-02 14:00:00,0,14.76,76,12.998,1010.2276648348683,59
2011-01-02 15:00:00,0,13.94,81,11.0014,1007.097213402522,74
2011-01-02 16:00:00,0,13.94,71,11.0014,1003.2089848348683,76
2011-01-02 17:00:00,0,13.94,57,12.998,1003.1214362672144,65
2011-01-02 18:00:00,0,14.76,46,22.0028,1001.4267048348682,53
2011-01-02 19:00:00,0,13.12,42,30.0026,999.8800846630884,30
2011-01-02 20:00:00,0,12.3,39,23.9994,1001.0743467291915,22
2011-01-02 21:00:00,0,10.66,44,22.0028,1005.2378160954345,31
2011-01-02 22:00:00,0,9.84,44,19.9995,1001.6693648348681,9
2011-01-02 23:00:00,0,9.02,47,11.0014,1003.4520960954345,8
2011-01-03 00:00:00,0,9.02,44,23.9994,1001.2039408959929,5
2011-01-03 01:00:00,0,8.2,44,27.9993,1000.7243388298898,2
2011-01-03 04:00:00,0,6.56,47,26.0027,1006.1983190016697,1
